사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
1,0:03,0:00,0:00,0:00,2023.1.1 1:08,2023.1.1 1:11,2023.1.1 1:11,2023.1.1 1:11,2023.1.1 1:11,겨울,기타 수난 ,광진구,119특수구조단
2,0:01,0:04,0:35,0:05,2023.1.1 1:25,2023.1.1 1:26,2023.1.1 1:30,2023.1.1 2:05,2023.1.1 2:10,겨울,기타 수난 ,마포구,마포소방서
3,0:01,0:06,0:08,0:09,2023.1.1 2:43,2023.1.1 2:44,2023.1.1 2:50,2023.1.1 2:58,2023.1.1 3:07,겨울,수색,영등포구,영등포소방서
4,0:02,0:06,0:13,0:06,2023.1.1 6:48,2023.1.1 6:50,2023.1.1 6:56,2023.1.1 7:09,2023.1.1 7:15,겨울,수색,서초구,용산소방서
5,0:02,0:01,0:17,0:02,2023.1.1 6:48,2023.1.1 6:50,2023.1.1 6:51,2023.1.1 7:08,2023.1.1 7:10,겨울,기타 수난 ,서초구,119특수구조단
6,0:01,0:09,0:08,0:12,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:15,2023.1.1 16:27,겨울,익수,송파구,강동소방서
7,0:01,0:09,0:28,0:13,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:35,2023.1.1 16:48,겨울,익수,송파구,송파소방서
8,0:01,0:09,0:08,0:10,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:15,2023.1.1 16:25,겨울,기타 수난 ,송파구,119특수구조단
9,0:01,0:09,0:06,0:17,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:13,2023.1.1 16:30,겨울,기타 수난 ,송파구,119특수구조단
10,0:01,0:05,0:11,0:15,2023.1.2 3:15,2023.1.2 3:16,2023.1.2 3:21,2023.1.2 3:32,2023.1.2 3:47,겨울,기타 수난 ,영등포구,영등포소방서
11,0:01,0:05,0:11,0:08,2023.1.2 3:15,2023.1.2 3:16,2023.1.2 3:21,2023.1.2 3:32,2023.1.2 3:40,겨울,기타 수난 ,영등포구,마포소방서
12,0:01,0:04,0:52,5:17,2023.1.2 9:53,2023.1.2 9:54,2023.1.2 9:58,2023.1.2 10:50,2023.1.2 16:07,겨울,기타 수난 ,영등포구,119특수구조단
13,0:04,0:13,0:03,0:10,2023.1.2 19:40,2023.1.2 19:44,2023.1.2 19:57,2023.1.2 20:00,2023.1.2 20:10,겨울,수색,용산구,119특수구조단
14,0:01,0:03,0:07,0:17,2023.1.3 3:42,2023.1.3 3:43,2023.1.3 3:46,2023.1.3 3:53,2023.1.3 4:10,겨울,기타 수난 ,용산구,영등포소방서
15,0:01,0:05,0:05,0:12,2023.1.3 3:42,2023.1.3 3:43,2023.1.3 3:48,2023.1.3 3:53,2023.1.3 4:05,겨울,기타 수난 ,용산구,영등포소방서
16,0:01,0:01,0:09,0:12,2023.1.3 3:42,2023.1.3 3:43,2023.1.3 3:44,2023.1.3 3:53,2023.1.3 4:05,겨울,기타 수난 ,용산구,119특수구조단
17,0:01,0:06,0:03,0:17,2023.1.3 7:08,2023.1.3 7:09,2023.1.3 7:15,2023.1.3 7:18,2023.1.3 7:35,겨울,기타 수난 ,마포구,영등포소방서
18,0:01,0:06,0:03,0:22,2023.1.3 7:08,2023.1.3 7:09,2023.1.3 7:15,2023.1.3 7:18,2023.1.3 7:40,겨울,기타 수난 ,마포구,영등포소방서
